0X05FF00 0XD0
0X05FF01 0X7D
0X05FF02 0XFA
0X05FF03 0X96
0X05FF04 0X97
0X05FF05 0X22
0X05FF06 0XEF
0X05FF07 0X0F
0X05FF08 0XCF
0X05FF09 0XCC
0X05FF0A 0X99
0X05FF0B 0XD3
0X05FF0C 0X08
0X05FF0D 0X3E
0X05FF0E 0XAC
0X05FF0F 0X0C
0X05FF10 0XF3
0X05FF11 0XEF
0X05FF12 0XE6
0X05FF13 0X9D
0X05FF14 0XF0
0X05FF15 0X18
0X05FF16 0XFD
0X05FF17 0X2E
0X05FF18 0X7D
0X05FF19 0X2F
0X05FF1A 0XB2
0X05FF1B 0XE8
0X05FF1C 0X3A
0X05FF1D 0X75
0X05FF1E 0X1E
0X05FF1F 0XC7
0X05FF20 0XF8
0X05FF21 0X52
0X05FF22 0X73
0X05FF23 0XC7
0X05FF24 0X61
0X05FF25 0XC4
0X05FF26 0XC7
0X05FF27 0X55
0X05FF28 0X1B
0X05FF29 0X10
0X05FF2A 0X3F
0X05FF2B 0XBE
0X05FF2C 0X9D
0X05FF2D 0XD9
0X05FF2E 0X9A
0X05FF2F 0X2F
0X05FF30 0X4C
0X05FF31 0XBE
0X05FF32 0X5E
0X05FF33 0X8D
0X05FF34 0XB5
0X05FF35 0XAA
0X05FF36 0X45
0X05FF37 0XA2
0X05FF38 0X28
0X05FF39 0X57
0X05FF3A 0XE0
0X05FF3B 0XCB
0X05FF3C 0XE7
0X05FF3D 0X1C
0X05FF3E 0XBB
0X05FF3F 0X80
0X05FF40 0XE3
0X05FF41 0X7B
0X05FF42 0XC7
0X05FF43 0XD1
0X05FF44 0XDC
0X05FF45 0X3B
0X05FF46 0X31
0X05FF47 0X60
0X05FF48 0X62
0X05FF49 0X1C
0X05FF4A 0XE2
0X05FF4B 0X29
0X05FF4C 0X9C
0X05FF4D 0X31
0X05FF4E 0X3B
0X05FF4F 0XC7
0X05FF50 0X20
0X05FF51 0X33
0X05FF52 0X21
0X05FF53 0XC7
0X05FF54 0X9C
0X05FF55 0X64
0X05FF56 0X18
0X05FF57 0XCA
0X05FF58 0X1B
0X05FF59 0X11
0X05FF5A 0XDA
0X05FF5B 0X99
0X05FF5C 0X88
