0X0EFF00 0X1B
0X0EFF01 0XCC
0X0EFF02 0XF1
0X0EFF03 0X5E
0X0EFF04 0X13
0X0EFF05 0XFD
0X0EFF06 0XED
0X0EFF07 0X2C
0X0EFF08 0X4A
0X0EFF09 0X2B
0X0EFF0A 0XCC
0X0EFF0B 0XF0
0X0EFF0C 0X92
0X0EFF0D 0XA4
0X0EFF0E 0XFE
0X0EFF0F 0X94
0X0EFF10 0X5C
0X0EFF11 0XBB
0X0EFF12 0X91
0X0EFF13 0XCC
0X0EFF14 0XCF
0X0EFF15 0XB8
0X0EFF16 0X23
0X0EFF17 0X47
0X0EFF18 0X26
0X0EFF19 0XBF
0X0EFF1A 0X29
0X0EFF1B 0X61
0X0EFF1C 0X63
0X0EFF1D 0XDF
0X0EFF1E 0XFE
0X0EFF1F 0X0F
0X0EFF20 0X1E
0X0EFF21 0XEB
0X0EFF22 0X47
0X0EFF23 0X05
0X0EFF24 0XCC
0X0EFF25 0X52
0X0EFF26 0XA8
0X0EFF27 0XA9
0X0EFF28 0XCC
0X0EFF29 0X34
0X0EFF2A 0X78
0X0EFF2B 0X3A
0X0EFF2C 0XE5
0X0EFF2D 0X2C
0X0EFF2E 0X9C
0X0EFF2F 0XB3
0X0EFF30 0X4F
0X0EFF31 0X79
0X0EFF32 0XB8
0X0EFF33 0XB7
0X0EFF34 0XC9
0X0EFF35 0X93
0X0EFF36 0X4E
0X0EFF37 0XE7
0X0EFF38 0X05
0X0EFF39 0XB7
0X0EFF3A 0XCF
0X0EFF3B 0XD4
0X0EFF3C 0X17
0X0EFF3D 0XCC
0X0EFF3E 0X54
0X0EFF3F 0X0B
0X0EFF40 0X27
0X0EFF41 0X5B
0X0EFF42 0XE1
0X0EFF43 0XEF
0X0EFF44 0X64
0X0EFF45 0X6D
0X0EFF46 0X8E
0X0EFF47 0X21
0X0EFF48 0X87
0X0EFF49 0X8E
0X0EFF4A 0X67
0X0EFF4B 0X5C
0X0EFF4C 0X97
0X0EFF4D 0X98
0X0EFF4E 0XA1
0X0EFF4F 0X99
0X0EFF50 0XD7
0X0EFF51 0X84
0X0EFF52 0X69
0X0EFF53 0XAB
0X0EFF54 0X4D
0X0EFF55 0XC6
0X0EFF56 0X72
0X0EFF57 0X3C
0X0EFF58 0XDE
0X0EFF59 0XDE
0X0EFF5A 0X60
0X0EFF5B 0X27
0X0EFF5C 0XEB
0X0EFF5D 0X19
0X0EFF5E 0X85
0X0EFF5F 0X2E
0X0EFF60 0XB8
0X0EFF61 0X0D
0X0EFF62 0XAB
0X0EFF63 0XFD
0X0EFF64 0X33
0X0EFF65 0XBE
0X0EFF66 0XEC
0X0EFF67 0X99
0X0EFF68 0X76
0X0EFF69 0X21
0X0EFF6A 0X7B
0X0EFF6B 0X8C
0X0EFF6C 0XCC
0X0EFF6D 0X78
0X0EFF6E 0XF9
0X0EFF6F 0X15
