0X0DFF00 0XCD
0X0DFF01 0XD2
0X0DFF02 0XFE
0X0DFF03 0X4B
0X0DFF04 0XDC
0X0DFF05 0X2F
0X0DFF06 0XA2
0X0DFF07 0XD5
0X0DFF08 0X85
0X0DFF09 0X76
0X0DFF0A 0XD7
0X0DFF0B 0X3C
0X0DFF0C 0XDD
0X0DFF0D 0X37
0X0DFF0E 0X03
0X0DFF0F 0XCF
0X0DFF10 0XBA
0X0DFF11 0XD4
0X0DFF12 0X0E
0X0DFF13 0XC0
0X0DFF14 0X32
0X0DFF15 0X56
0X0DFF16 0XB4
0X0DFF17 0X72
0X0DFF18 0X14
0X0DFF19 0XCE
0X0DFF1A 0XF1
0X0DFF1B 0XDE
0X0DFF1C 0XAC
0X0DFF1D 0XDB
0X0DFF1E 0XD2
0X0DFF1F 0X9D
0X0DFF20 0XA6
0X0DFF21 0X86
0X0DFF22 0X22
0X0DFF23 0X90
0X0DFF24 0X89
0X0DFF25 0XEF
0X0DFF26 0X5E
0X0DFF27 0X58
0X0DFF28 0X33
0X0DFF29 0XE8
0X0DFF2A 0XC4
0X0DFF2B 0XCF
0X0DFF2C 0X1E
0X0DFF2D 0X23
0X0DFF2E 0XBE
0X0DFF2F 0XBB
0X0DFF30 0X83
0X0DFF31 0XFF
0X0DFF32 0X65
0X0DFF33 0X69
0X0DFF34 0X09
0X0DFF35 0X85
0X0DFF36 0X7B
0X0DFF37 0XE7
0X0DFF38 0XE7
0X0DFF39 0XCF
0X0DFF3A 0XF9
0X0DFF3B 0X4F
0X0DFF3C 0X80
0X0DFF3D 0X78
0X0DFF3E 0X4E
0X0DFF3F 0XC9
0X0DFF40 0XF8
0X0DFF41 0X77
0X0DFF42 0XF5
0X0DFF43 0X00
0X0DFF44 0XEC
0X0DFF45 0X84
0X0DFF46 0XF7
0X0DFF47 0X40
0X0DFF48 0X65
0X0DFF49 0XCF
0X0DFF4A 0X3B
0X0DFF4B 0X8E
0X0DFF4C 0X7E
0X0DFF4D 0XCF
0X0DFF4E 0XCF
0X0DFF4F 0XE1
0X0DFF50 0X2F
0X0DFF51 0XDD
0X0DFF52 0X29
0X0DFF53 0X38
0X0DFF54 0X7C
0X0DFF55 0X6E
0X0DFF56 0XD7
0X0DFF57 0X4C
0X0DFF58 0XD6
0X0DFF59 0XCF
0X0DFF5A 0XEB
0X0DFF5B 0X3F
0X0DFF5C 0X02
0X0DFF5D 0X0C
0X0DFF5E 0XE1
0X0DFF5F 0XEB
0X0DFF60 0X65
0X0DFF61 0X57
0X0DFF62 0XCF
0X0DFF63 0X0F
0X0DFF64 0XCF
0X0DFF65 0XA4
0X0DFF66 0XCD
0X0DFF67 0XCE
0X0DFF68 0XA8
0X0DFF69 0XA8
0X0DFF6A 0X6A
0X0DFF6B 0XDC
0X0DFF6C 0X66
0X0DFF6D 0X95
0X0DFF6E 0XCB
0X0DFF6F 0X96
0X0DFF70 0XC9
0X0DFF71 0X5A
0X0DFF72 0X58
0X0DFF73 0X3E
0X0DFF74 0X84
0X0DFF75 0X12
0X0DFF76 0X00
0X0DFF77 0XF8
0X0DFF78 0X57
0X0DFF79 0XB9
0X0DFF7A 0XC1
0X0DFF7B 0X3C
0X0DFF7C 0X20
